LT Owner,Application,IP,DNS,NetBIOS,QG Host ID,IP Interfaces,Tracking Method,OS,IP Status,QID,UID,Title,Vuln Status,Type,Severity,Port,Protocol,FQDN,SSL,First Detected,Last Detected,Times Detected,Date Last Fixed,CVE ID,Vendor Reference,Bugtraq ID,Impact,Results,Solution
Andrew Jakubowski,TOPS,10.113.235.237,ip-10-113-235-237,,b7d56657-4980-4392-8b85-33894c0113b0,"10.113.235.237, 10.250.0.1, fe80::38ec:f3ff:fe3d:5081, fe80::42:d2ff:fe35:d851, fe80::bccf:deff:fe3c:ace2, fe80::d829:93ff:fe9f:3bc2, fe80::d9:3fff:fe2c:ef93",QAGENT,Ubuntu Linux 22.04.5,"host scanned, found vuln",199543,10.113.235.237QAGENT199543,Ubuntu Security Notification for SciPy Vulnerabilities (USN-6226-1),Fixed,Vuln,5,,,,,11/10/2024,9/8/2025,1967,,"CVE-2023-29824, CVE-2023-25399",USN-6226-1,,"Successful exploitation of this vulnerability could lead to a security breach or could affect integrity, availability, and confidentiality.","Package	Installed Version	Required Version
python3-scipy	1.8.0-1exp2ubuntu1	1.8.0-1exp2ubuntu1+esm1#",
Andrew Jakubowski,TOPS,10.113.235.237,ip-10-113-235-237,,b7d56657-4980-4392-8b85-33894c0113b0,"10.113.235.237, 10.250.0.1, fe80::38ec:f3ff:fe3d:5081, fe80::42:d2ff:fe35:d851, fe80::bccf:deff:fe3c:ace2, fe80::d829:93ff:fe9f:3bc2, fe80::d9:3fff:fe2c:ef93",QAGENT,Ubuntu Linux 22.04.5,"host scanned, found vuln",105778,10.113.235.237QAGENT105778,EOL/Obsolete Software: Kubernetes Prior to 1.30 Detected,Fixed,Vuln,5,,,,,3/25/2025,9/8/2025,1002,,,Kubernetes End of Life,,"The system is at high risk of being exposed to security vulnerabilities. Since the vendor no longer provides updates, obsolete software is more vulnerable to viruses and other attacks.","EOL - Kubernetes version detected.

Client Version: version.Info{Major:""1"", Minor:""27"", GitVersion:""v1.27.16"", GitCommit:""cbb86e0d7f4a049666fac0551e8b02ef3d6c3d9a"", GitTreeState:""clean"", BuildDate:""2024-07-17T01:53:56Z"", GoVersion:""go1.22.5"", Compiler:""gc"", Platform:""linux/amd64""}
Kustomize Version: v5.0.1 
OpenShift Cluster not detected.

sh: 1: oc: not found#",
Andrew Jakubowski,TOPS,10.113.235.237,ip-10-113-235-237,,b7d56657-4980-4392-8b85-33894c0113b0,"10.113.235.237, 10.250.0.1, fe80::38ec:f3ff:fe3d:5081, fe80::42:d2ff:fe35:d851, fe80::bccf:deff:fe3c:ace2, fe80::d829:93ff:fe9f:3bc2, fe80::d9:3fff:fe2c:ef93",QAGENT,Ubuntu Linux 22.04.5,"host scanned, found vuln",6021943,10.113.235.237QAGENT6021943,Ubuntu Security Notification for Linux kernel Vulnerabilities (USN-7451-1),Fixed,Vuln,4,,,,,4/26/2025,9/8/2025,825,,"CVE-2024-50077, CVE-2024-53131, CVE-2024-56708, CVE-2024-50223, CVE-2024-53161, CVE-2024-50278, CVE-2024-50063, CVE-2024-53210, CVE-2024-50294, CVE-2024-56754, CVE-2024-56783, CVE-2025-21702, CVE-2024-56787, CVE-2024-57798, CVE-2024-53142, CVE-2024-56651, CVE-2024-50062, CVE-2024-50057, CVE-2024-53062, CVE-2024-53099, CVE-2024-50269, CVE-2024-56780, CVE-2024-53172, CVE-2024-56587, CVE-2024-56689, CVE-2024-53232, CVE-2024-53091, CVE-2024-53160, CVE-2024-50068, CVE-2024-56677, CVE-2024-53093, CVE-2024-56620, CVE-2024-50267, CVE-2024-44955, CVE-2024-56598, CVE-2024-50238, CVE-2024-56785, CVE-2024-56621, CVE-2024-50133, CVE-2024-50237, CVE-2024-50182, CVE-2024-56623, CVE-2024-50047, CVE-2024-50069, CVE-2024-50287, CVE-2024-50162, CVE-2024-56543, CVE-2024-53112, CVE-2024-53045, CVE-2024-52332, CVE-2024-53115, CVE-2024-53195, CVE-2024-50036, CVE-2024-56724, CVE-2024-49972, CVE-2024-57843, CVE-2024-53068, CVE-2024-53121, CVE-2024-56540, CVE-2024-56744, CVE-2024-50142, CVE-2024-56577, CVE-2024-53220, CVE-2024-56630, CVE-2024-50207, CVE-2024-56548, CVE-2024-47726, CVE-2024-53053, CVE-2024-50035, CVE-2024-57849, CVE-2024-56576, CVE-2024-50107, CVE-2024-53052, CVE-2024-50118, CVE-2024-50160, CVE-2024-49914, CVE-2024-50215, CVE-2024-53176, CVE-2024-56546, CVE-2024-50088, CVE-2024-53086, CVE-2024-42122, CVE-2024-56583, CVE-2024-50185, CVE-2024-56562, CVE-2024-53151, CVE-2024-50155, CVE-2024-56722, CVE-2024-50115, CVE-2024-50056, CVE-2024-50084, CVE-2024-53178, CVE-2024-56725, CVE-2024-50249, CVE-2024-50020, CVE-2024-50195, CVE-2024-56772, CVE-2024-50180, CVE-2024-56641, CVE-2024-50116, CVE-2024-50280, CVE-2024-50300, CVE-2024-56771, CVE-2024-41932, CVE-2024-50199, CVE-2024-50304, CVE-2024-50026, CVE-2024-53048, CVE-2024-53122, CVE-2024-53203, CVE-2024-53060, CVE-2024-50209, CVE-2024-50226, CVE-2024-56694, CVE-2024-56557, CVE-2024-50134, CVE-2024-56681, CVE-2024-50296, CVE-2024-50222, CVE-2024-53067, CVE-2024-50108, CVE-2024-50187, CVE-2024-53127, CVE-2024-53187, CVE-2024-53126, CVE-2024-50255, CVE-2024-56606, CVE-2024-50138, CVE-2024-50076, CVE-2024-50078, CVE-2024-50271, CVE-2024-53226, CVE-2024-50295, CVE-2024-47711, CVE-2024-50263, CVE-2024-53129, CVE-2024-50124, CVE-2024-56593, CVE-2024-50064, CVE-2024-53217, CVE-2024-50033, CVE-2025-21701, CVE-2024-50140, CVE-2024-56729, CVE-2024-56703, CVE-2024-53061, CVE-2024-50303, CVE-2024-53147, CVE-2024-56647, CVE-2024-56751, CVE-2024-53114, CVE-2024-56608, CVE-2024-50221, CVE-2024-53051, CVE-2024-50087, CVE-2024-50203, CVE-2024-50250, CVE-2024-50147, CVE-2024-56640, CVE-2024-56626, CVE-2024-50085, CVE-2024-50019, CVE-2024-50246, CVE-2024-56613, CVE-2024-50044, CVE-2024-50023, CVE-2024-50275, CVE-2024-53059, CVE-2024-50291, CVE-2024-50029, CVE-2024-48876, CVE-2024-50045, CVE-2024-56580, CVE-2024-56532, CVE-2024-50288, CVE-2024-49920, CVE-2024-53150, CVE-2024-53058, CVE-2024-56569, CVE-2024-50009, CVE-2024-50297, CVE-2024-50136, CVE-2024-56642, CVE-2024-50145, CVE-2024-56578, CVE-2024-56778, CVE-2024-50243, CVE-2024-53090, CVE-2024-56531, CVE-2024-50233, CVE-2024-53169, CVE-2024-48881, CVE-2024-56610, CVE-2024-50040, CVE-2024-53165, CVE-2024-56693, CVE-2024-49569, CVE-2024-50121, CVE-2024-53156, CVE-2024-53134, CVE-2024-56579, CVE-2024-50067, CVE-2024-53066, CVE-2024-50117, CVE-2024-56539, CVE-2024-57876, CVE-2024-53106, CVE-2024-56746, CVE-2024-56631, CVE-2024-56685, CVE-2024-50211, CVE-2024-53101, CVE-2024-53190, CVE-2024-53113, CVE-2024-50205, CVE-2024-56698, CVE-2024-50083, CVE-2024-53118, CVE-2024-50046, CVE-2024-47809, CVE-2024-53082, CVE-2024-56603, CVE-2024-56602, CVE-2024-50159, CVE-2024-50261, CVE-2024-50065, CVE-2024-50156, CVE-2024-56648, CVE-2024-50239, CVE-2024-50231, CVE-2024-50073, CVE-2024-53163, CVE-2024-56742, CVE-2024-56775, CVE-2024-53128, CVE-2024-53202, CVE-2024-53120, CVE-2024-53223, CVE-2024-53184, CVE-2024-50148, CVE-2024-56589, CVE-2024-53174, CVE-2024-50220, CVE-2024-50216, CVE-2024-56575, CVE-2024-53198, CVE-2024-49865, CVE-2024-53146, CVE-2024-56683, CVE-2024-56650, CVE-2024-56582, CVE-2024-56632, CVE-2024-56568, CVE-2024-53208, CVE-2024-56570, CVE-2024-50274, CVE-2024-53088, CVE-2024-56776, CVE-2024-49906, CVE-2024-53133, CVE-2024-50154, CVE-2024-50218, CVE-2024-53095, CVE-2024-56745, CVE-2024-57838, CVE-2024-53177",USN-7451-1,,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.","Package	Installed Version	Required Version
linux	6.8.0-1015-aws	6.8.0-1027#",
Andrew Jakubowski,TOPS,10.113.235.237,ip-10-113-235-237,,b7d56657-4980-4392-8b85-33894c0113b0,"10.113.235.237, 10.250.0.1, fe80::38ec:f3ff:fe3d:5081, fe80::42:d2ff:fe35:d851, fe80::bccf:deff:fe3c:ace2, fe80::d829:93ff:fe9f:3bc2, fe80::d9:3fff:fe2c:ef93",QAGENT,Ubuntu Linux 22.04.5,"host scanned, found vuln",6021773,10.113.235.237QAGENT6021773,Ubuntu Security Notification for Linux kernel Vulnerabilities (USN-7325-1),Fixed,Vuln,4,,,,,7/3/2025,9/8/2025,1101,,"CVE-2024-53104, CVE-2025-0927",USN-7325-1,,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.","Package	Installed Version	Required Version
linux	6.8.0-1015-aws	6.8.0-1024#",
Andrew Jakubowski,TOPS,10.113.234.80,ip-10-113-234-80.aws-syn-use1.org,,ce2aad3c-e5f2-41f1-993c-f561622488f7,"10.113.234.80, fe80::c80:f2ff:fe48:49fb",QAGENT,Red Hat Enterprise Linux 8.10,"host scanned, found vuln",254244,10.113.234.80QAGENT254244,Red Hat Update for libarchive (RHSA-2025:14135),Fixed,Vuln,4,,,,,8/21/2025,9/8/2025,111,,CVE-2025-5914,RHSA-2025:14135,,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.","Package	Installed Version	Required Version
libarchive	3.3.3-5.el8.x86_64	3.3.3-6.el8_10#",
Andrew Jakubowski,TOPS,10.113.235.19,ip-10-113-235-19,,485f4e3c-503e-4a6a-acca-ef19463cf6f2,"10.113.235.19, 10.250.0.1, fe80::1405:fcff:fe58:b7ee, fe80::1f:8aff:fe5c:c91b, fe80::c43a:22ff:fe6b:a145",QAGENT,Ubuntu Linux 24.04.3,"host scanned, found vuln",6025501,10.113.235.19QAGENT6025501,Ubuntu Security Notification for Linux kernel Vulnerabilities (USN-7769-3),Active,Vuln,4,,,,,9/30/2025,10/1/2025,10,,"CVE-2025-38071, CVE-2025-38130, CVE-2025-38301, CVE-2025-38270, CVE-2025-38289, CVE-2025-38499, CVE-2025-38162, CVE-2025-38163, CVE-2025-38319, CVE-2025-38060, CVE-2025-38091, CVE-2025-38123, CVE-2025-38304, CVE-2025-38147, CVE-2025-38059, CVE-2025-38099, CVE-2025-38151, CVE-2025-38036, CVE-2025-38051, CVE-2025-38048, CVE-2025-38098, CVE-2025-38100, CVE-2025-38158, CVE-2025-38170, CVE-2025-38103, CVE-2025-38165, CVE-2025-38316, CVE-2025-38105, CVE-2025-38297, CVE-2025-38077, CVE-2025-38132, CVE-2025-38286, CVE-2025-38080, CVE-2025-38063, CVE-2025-38052, CVE-2025-38057, CVE-2025-38078, CVE-2025-38055, CVE-2025-38282, CVE-2025-38169, CVE-2025-38272, CVE-2025-38287, CVE-2025-38291, CVE-2025-38288, CVE-2025-38045, CVE-2025-38299, CVE-2025-38136, CVE-2025-38166, CVE-2025-38076, CVE-2025-38307, CVE-2025-38292, CVE-2025-38108, CVE-2025-38119, CVE-2025-39890, CVE-2025-38043, CVE-2025-38127, CVE-2025-38042, CVE-2025-38149, CVE-2025-38352, CVE-2025-38113, CVE-2025-38037, CVE-2025-38303, CVE-2025-38161, CVE-2025-38155, CVE-2025-38109, CVE-2025-38278, CVE-2025-38279, CVE-2025-38290, CVE-2025-38135, CVE-2025-38070, CVE-2025-38318, CVE-2025-38267, CVE-2025-38064, CVE-2025-38415, CVE-2025-38072, CVE-2025-38176, CVE-2025-38175, CVE-2025-38102, CVE-2025-38294, CVE-2025-38268, CVE-2025-38143, CVE-2025-38159, CVE-2025-38145, CVE-2025-38110, CVE-2025-38122, CVE-2025-38148, CVE-2025-38313, CVE-2025-38498, CVE-2025-38295, CVE-2025-38097, CVE-2025-38003, CVE-2025-38265, CVE-2025-38096, CVE-2025-38172, CVE-2025-38035, CVE-2025-38082, CVE-2025-38168, CVE-2025-38039, CVE-2025-38032, CVE-2025-38062, CVE-2025-38142, CVE-2025-38134, CVE-2025-38285, CVE-2025-38137, CVE-2025-38061, CVE-2025-38146, CVE-2025-38167, CVE-2025-38029, CVE-2025-38283, CVE-2025-38117, CVE-2025-38066, CVE-2025-38073, CVE-2025-38280, CVE-2025-38129, CVE-2025-38141, CVE-2025-38315, CVE-2025-38125, CVE-2025-38101, CVE-2025-38314, CVE-2025-38312, CVE-2025-38296, CVE-2025-38111, CVE-2025-38074, CVE-2025-38154, CVE-2025-38311, CVE-2025-38081, CVE-2025-38054, CVE-2025-38269, CVE-2025-38034, CVE-2025-38274, CVE-2025-38038, CVE-2025-38128, CVE-2025-38050, CVE-2025-38112, CVE-2025-38041, CVE-2025-38033, CVE-2025-38069, CVE-2025-38088, CVE-2025-38157, CVE-2025-38317, CVE-2025-38277, CVE-2025-38153, CVE-2025-38065, CVE-2025-38075, CVE-2025-38116, CVE-2025-38302, CVE-2025-38118, CVE-2025-38284, CVE-2025-38120, CVE-2025-38140, CVE-2025-38306, CVE-2025-38047, CVE-2025-38139, CVE-2025-38414, CVE-2025-38138, CVE-2025-38131, CVE-2025-38293, CVE-2025-38298, CVE-2025-38040, CVE-2025-38156, CVE-2025-38126, CVE-2025-38174, CVE-2025-38114, CVE-2025-38053, CVE-2025-38124, CVE-2025-38058, CVE-2025-38173, CVE-2025-38068, CVE-2025-38310, CVE-2025-38164, CVE-2025-38281, CVE-2025-38300, CVE-2025-38031, CVE-2025-38160, CVE-2025-38004, CVE-2025-38044, CVE-2025-38275, CVE-2025-38305, CVE-2025-38106, CVE-2025-38115, CVE-2025-38079, CVE-2025-38107, CVE-2025-38092, CVE-2025-38067",USN-7769-3,,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",,"Refer to Ubuntu security advisory USN-7769-3 (https://ubuntu.com/security/notices/USN-7769-3) for updates and patch information.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  USN-7769-3: Ubuntu Linux (https://ubuntu.com/security/notices/USN-7769-3)"
Andrew Jakubowski,TOPS,10.113.234.80,ip-10-113-234-80.aws-syn-use1.org,,ce2aad3c-e5f2-41f1-993c-f561622488f7,"10.113.234.80, fe80::c80:f2ff:fe48:49fb",QAGENT,Red Hat Enterprise Linux 8.10,"host scanned, found vuln",254422,10.113.234.80QAGENT254422,Red Hat Update for kernel (RHSA-2025:15471),Active,Vuln,4,,,,,11/9/2025,10/1/2025,128,,"CVE-2022-49985, CVE-2025-38352",RHSA-2025:15471,,"Successful exploitation of this vulnerability could lead to a security breach or affect integrity, availability, and confidentiality.",,"Refer to Red Hat security advisory RHSA-2025:15471 (https://access.redhat.com/errata/RHSA-2025:15471) for updates and patch information.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  RHSA-2025:15471: Red Hat Enterprise Linux (https://access.redhat.com/errata/RHSA-2025:15471)"
Antony Royal,CP Art,10.60.61.9,outwiaz3app2p.prc.syngenta.org,OUTWIAZ3APP2P,c0255f04-7678-4ab4-987c-deceb40fb3c8,"10.60.60.74, 10.60.61.9",QAGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,"host scanned, found vuln",92311,10.60.61.9QAGENT92311,Microsoft Windows Server Security Update for October 2025,Active,Vuln,5,,,,,10/15/2025,10/31/2025,102,,"CVE-2025-59214, CVE-2025-55682, CVE-2025-55333, CVE-2025-59244, CVE-2025-55678, CVE-2025-55676, CVE-2025-59277, CVE-2025-53139, CVE-2025-25004, CVE-2025-55330, CVE-2025-47827, CVE-2025-59188, CVE-2025-58715, CVE-2025-58730, CVE-2025-59193, CVE-2025-55340, CVE-2025-55685, CVE-2025-55684, CVE-2025-59275, CVE-2025-59198, CVE-2025-59261, CVE-2025-59190, CVE-2025-59186, CVE-2025-59210, CVE-2025-59294, CVE-2025-59255, CVE-2025-59191, CVE-2025-58735, CVE-2025-55326, CVE-2025-55337, CVE-2025-55332, CVE-2025-58714, CVE-2025-58731, CVE-2025-59203, CVE-2025-59282, CVE-2025-59192, CVE-2025-59206, CVE-2025-24990, CVE-2025-58719, CVE-2025-59200, CVE-2025-24052, CVE-2025-55336, CVE-2025-55694, CVE-2025-55691, CVE-2025-59202, CVE-2025-59205, CVE-2025-55677, CVE-2025-59260, CVE-2025-55328, CVE-2025-55335, CVE-2025-58717, CVE-2025-53150, CVE-2025-55683, CVE-2025-59209, CVE-2025-55686, CVE-2025-59211, CVE-2025-55339, CVE-2025-59201, CVE-2025-55696, CVE-2025-58720, CVE-2025-55689, CVE-2025-55695, CVE-2025-59257, CVE-2025-58726, CVE-2025-58736, CVE-2025-58728, CVE-2025-59215, CVE-2025-55338, CVE-2025-50152, CVE-2025-58716, CVE-2025-58729, CVE-2025-55680, CVE-2025-59280, CVE-2025-59259, CVE-2025-59208, CVE-2025-55679, CVE-2025-59207, CVE-2025-50174, CVE-2025-59253, CVE-2025-58734, CVE-2025-54957, CVE-2025-55681, CVE-2025-58739, CVE-2025-55692, CVE-2016-9535, CVE-2025-49708, CVE-2025-59187, CVE-2025-59194, CVE-2025-55693, CVE-2025-58722, CVE-2025-55331, CVE-2025-59204, CVE-2025-55688, CVE-2025-59258, CVE-2025-59242, CVE-2025-59185, CVE-2025-59220, CVE-2025-59284, CVE-2025-55697, CVE-2025-55687, CVE-2025-58733, CVE-2025-55698, CVE-2025-55699, CVE-2025-55700, CVE-2025-58727, CVE-2025-58718, CVE-2025-58725, CVE-2025-59199, CVE-2025-59216, CVE-2025-59295, CVE-2025-48004, CVE-2025-55690, CVE-2025-55325, CVE-2025-59195, CVE-2025-59197, CVE-2025-47979, CVE-2025-59189, CVE-2025-59278, CVE-2025-58738, CVE-2025-55701, CVE-2025-2884, CVE-2025-59230, CVE-2025-59254, CVE-2025-50175, CVE-2025-59196, CVE-2025-58737, CVE-2025-58732, CVE-2025-48813, CVE-2025-59184","KB5065432, KB5065306, KB5065425, KB5065428, KB5065474, KB5065426, KB5066836, KB5066875, KB5066874, KB5066873, KB5066840, KB5066872, KB5066780, KB5066877, KB5066835, KB5066782, KB5066876, KB5066586",,"Successful exploitation of this vulnerability could lead to a security breach or may affect integrity, availability, and confidentiality.",,"Missing Patch/KB:  KB5066586 
File:  %windir%\system32\ntoskrnl.exe 
Installed Version:  10.0.17763.7786 
Required Version:  10.0.17763.7919#"
Antony Royal,CP Art,10.60.61.9,outwiaz3app2p.prc.syngenta.org,OUTWIAZ3APP2P,c0255f04-7678-4ab4-987c-deceb40fb3c8,"10.60.60.74, 10.60.61.9",QAGENT,Windows Server 2019 Datacenter 64 bit Edition Version 1809 Build 17763,"host scanned, found vuln",92313,10.60.61.9QAGENT92313,Microsoft ASP.NET Core Security Update for October 2025,Active,Vuln,5,,,,,10/15/2025,10/31/2025,102,,CVE-2025-55315,CVE-2025-55315,,"Successful exploitation of this vulnerability could lead to a security breach or may affect integrity, availability, and confidentiality.",,"cea5fa610dba4e0c024727f4c528a66018b820a3
8.0.18

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\8.0.18\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\8.0.18\.version#"
Antony Royal,CP Art,10.53.234.240,deawiwpltt002.cloud.syngenta.org,DEAWIWPLTT002,c4c4bac3-4ebd-42b2-b7db-122862d605de,"10.53.234.240, fe80::bca1:33fb:1314:e387",QAGENT,Windows Server 2022 Datacenter 64 bit Edition Version 21H2,"host scanned, found vuln",92313,10.53.234.240QAGENT92313,Microsoft ASP.NET Core Security Update for October 2025,Active,Vuln,5,,,,,10/15/2025,10/31/2025,101,,CVE-2025-55315,CVE-2025-55315,,"Successful exploitation of this vulnerability could lead to a security breach or may affect integrity, availability, and confidentiality.",,"af22effae4069a5dfb9b0735859de48820104f5b
9.0.0

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\9.0.0\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\9.0.0\.version
da7e9894ce22ef8cc02e5acc56e95a6f8cf8f644
8.0.2

%programfiles(x86)%\dotnet\shared\Microsoft.AspNetCore.App\8.0.2\.version
%programfiles%\dotnet\shared\Microsoft.AspNetCore.App\8.0.2\.version#"
